--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, cum_error, rate_error, correction, OCR1A
424, 31, -295405, 0, 1, 103
422, 33, -294415, 0, 1, 104
420, 35, -293330, 0, 1, 105
419, 36, -292286, 0, 1, 106
418, 37, -291139, 0, 1, 107
416, 39, -289969, 0, 1, 108
416, 39, -288799, 0, 1, 109
411, 44, -287479, 0, 1, 110
414, 41, -286249, 143165576, 2863313, 111
414, 41, -284404, 0, 1, 320
459, -4, -284528, 138547330, 2770946, 321
485, -30, -285848, 97612892, 1952256, 323
506, -51, -288143, 95443717, 1908872, 323
528, -73, -291428, 95443717, 1908871, 459
563, -108, -296180, 97612892, 1952253, 82
498, -43, -298115, 1, -1, 79
494, -39, -299324, 0, -1, 78
489, -34, -300378, 0, -1, 77
485, -30, -301308, 0, -1, 76
