--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, delta_t, cum_error, rate_error, correction, OCR1A
472, -17, 33, 14930, 0, 0, 142
472, -17, 34, 14352, 0, 0, 142
472, -17, 32, 13808, 0, 0, 142
472, -17, 34, 13230, 0, 0, 142
472, -17, 33, 12669, 0, 0, 142
472, -17, 34, 12091, 0, 0, 142
472, -17, 32, 11547, 0, 0, 142
472, -17, 34, 10969, 0, 0, 142
472, -17, 33, 10408, 0, 0, 142
472, -17, 34, 9830, 0, 0, 142
474, -19, 32, 9222, 0, 0, 142
472, -17, 32, 8678, 0, 0, 142
474, -19, 32, 8070, 0, 0, 142
472, -17, 33, 7509, 0, 0, 142
474, -19, 32, 6901, 0, 0, 142
472, -17, 32, 6357, 0, 0, 142
474, -19, 32, 5749, 0, 0, 142
472, -17, 33, 5188, 0, 0, 142
473, -18, 32, 4612, 0, 0, 142
472, -17, 32, 4068, 0, 0, 142
473, -18, 32, 3492, 0, 0, 142
472, -17, 33, 2931, 0, 0, 142
473, -18, 32, 2355, 0, 0, 142
472, -17, 32, 1811, 0, 0, 142
473, -18, 32, 1235, 0, 0, 142
472, -17, 33, 674, 0, 0, 142
472, -17, 31, 147, 0, 0, 142
472, -17, 31, -380, 0, 0, 142
473, -18, 32, -956, 0, 0, 142
472, -17, 33, -1517, 0, 0, 142
472, -17, 33, -2078, 0, 0, 142
472, -17, 33, -2639, 0, 0, 142
472, -17, 33, -3200, 0, 0, 142
472, -17, 34, -3778, 0, 0, 142
472, -17, 33, -4339, 0, 0, 142
472, -17, 34, -4917, 0, 0, 142
472, -17, 32, -5461, 0, 0, 142
472, -17, 34, -6039, 0, 0, 142
472, -17, 33, -6600, 0, 0, 142
472, -17, 34, -7178, 0, 0, 142
472, -17, 32, -7722, 0, 0, 142
472, -17, 34, -8300, 0, 0, 142
472, -17, 33, -8861, 0, 0, 142
472, -17, 34, -9439, 0, 0, 142
472, -17, 33, -10000, 0, 0, 142
473, -18, 34, -10612, 0, 0, 142
472, -17, 34, -11190, 0, 0, 142
473, -18, 35, -11820, 0, 0, 142
472, -17, 34, -12398, 0, 0, 142
473, -18, 35, -13028, 0, 0, 142
472, -17, 33, -13589, 0, 0, 142
473, -18, 35, -14219, 0, 0, 142
472, -17, 34, -14797, 0, 0, 142
473, -18, 35, -15427, 0, 0, 142
472, -17, 34, -16005, 0, 0, 142
473, -18, 34, -16617, 0, 0, 142
472, -17, 34, -17195, 0, 0, 142
473, -18, 35, -17825, 0, 0, 142
472, -17, 34, -18403, 0, 0, 142
473, -18, 35, -19033, 0, 0, 142
472, -17, 33, -19594, 0, 0, 142
473, -18, 35, -20224, 0, 0, 142
472, -17, 34, -20802, 0, 0, 142
473, -18, 35, -21432, 0, 0, 142
472, -17, 34, -22010, 0, 0, 142
473, -18, 34, -22622, 0, 0, 142
472, -17, 34, -23200, 0, 0, 142
473, -18, 35, -23830, 0, 0, 142
472, -17, 34, -24408, 0, 0, 142
473, -18, 35, -25038, 0, 0, 142
472, -17, 34, -25616, 0, 0, 142
473, -18, 34, -26228, 0, 0, 142
472, -17, 35, -26823, 0, 0, 142
473, -18, 34, -27435, 0, 0, 142
472, -17, 35, -28030, 0, 0, 142
473, -18, 34, -28642, 0, 0, 142
472, -17, 34, -29220, 0, 0, 142
473, -18, 34, -29832, 0, 0, 142
472, -17, 35, -30427, 0, 0, 142
473, -18, 34, -31039, 0, 0, 142
472, -17, 35, -31634, 0, 0, 142
473, -18, 33, -32228, 0, 0, 142
472, -17, 35, -32823, 0, 0, 142
473, -18, 34, -33435, 0, 0, 142
472, -17, 35, -34030, 0, 0, 142
473, -18, 34, -34642, 0, 0, 142
472, -17, 34, -35220, 0, 0, 142
473, -18, 34, -35832, 0, 0, 142
472, -17, 35, -36427, 0, 0, 142
473, -18, 34, -37039, 0, 0, 142
472, -17, 35, -37634, 0, 0, 142
473, -18, 33, -38228, 0, 0, 142
472, -17, 35, -38823, 0, 0, 142
473, -18, 34, -39435, 0, 0, 142
472, -17, 35, -40030, 0, 0, 142
473, -18, 34, -40642, 0, 0, 142
472, -17, 34, -41220, 0, 0, 142
473, -18, 34, -41832, 0, 0, 142
472, -17, 35, -42427, 0, 0, 142
473, -18, 34, -43039, 0, 0, 142
472, -17, 35, -43634, 0, 0, 142
473, -18, 33, -44228, 0, 0, 142
472, -17, 35, -44823, 0, 0, 142
471, -16, 35, -45383, 0, 0, 142
472, -17, 34, -45961, 0, 0, 142
473, -18, 35, -46591, 0, 0, 142
472, -17, 33, -47152, 0, 0, 142
473, -18, 35, -47782, 0, 0, 142
472, -17, 34, -48360, 0, 0, 142
473, -18, 35, -48990, 0, 0, 142
472, -17, 34, -49568, 0, 0, 142
473, -18, 34, -50180, 0, 0, 142
472, -17, 34, -50758, 0, 0, 142
473, -18, 35, -51388, 0, 0, 142
472, -17, 34, -51966, 0, 0, 142
473, -18, 35, -52596, 0, 0, 142
472, -17, 33, -53157, 0, 0, 142
473, -18, 35, -53787, 0, 0, 142
472, -17, 34, -54365, 0, 0, 142
473, -18, 35, -54995, 0, 0, 142
472, -17, 34, -55573, 0, 0, 142
473, -18, 35, -56203, 0, 0, 142
472, -17, 33, -56764, 0, 0, 142
473, -18, 35, -57394, 0, 0, 142
472, -17, 34, -57972, 0, 0, 142
473, -18, 35, -58602, 0, 0, 142
472, -17, 34, -59180, 0, 0, 142
473, -18, 34, -59792, 0, 0, 142
472, -17, 34, -60370, 0, 0, 142
473, -18, 35, -61000, 0, 0, 142
472, -17, 34, -61578, 0, 0, 142
473, -18, 35, -62208, 0, 0, 142
472, -17, 33, -62769, 0, 0, 142
473, -18, 35, -63399, 0, 0, 142
472, -17, 35, -63994, 0, 0, 142
473, -18, 34, -64606, 0, 0, 142
472, -17, 35, -65201, 0, 0, 142
473, -18, 33, -65795, 0, 0, 142
472, -17, 35, -66390, 0, 0, 142
473, -18, 34, -67002, 0, 0, 142
472, -17, 35, -67597, 0, 0, 142
473, -18, 34, -68209, 0, 0, 142
472, -17, 34, -68787, 0, 0, 142
473, -18, 34, -69399, 0, 0, 142
472, -17, 35, -69994, 0, 0, 142
473, -18, 34, -70606, 0, 0, 142
472, -17, 35, -71201, 0, 0, 142
473, -18, 33, -71795, 0, 0, 142
472, -17, 35, -72390, 0, 0, 142
473, -18, 34, -73002, 0, 0, 142
472, -17, 35, -73597, 0, 0, 142
473, -18, 34, -74209, 0, 0, 142
472, -17, 34, -74787, 0, 0, 142
473, -18, 34, -75399, 0, 0, 142
472, -17, 35, -75994, 0, 0, 142
473, -18, 34, -76606, 0, 0, 142
472, -17, 35, -77201, 0, 0, 142
473, -18, 33, -77795, 0, 0, 142
472, -17, 35, -78390, 0, 0, 142
473, -18, 34, -79002, 0, 0, 142
472, -17, 35, -79597, 0, 0, 142
473, -18, 34, -80209, 0, 0, 142
472, -17, 34, -80787, 0, 0, 142
473, -18, 34, -81399, 0, 0, 142
472, -17, 35, -81994, 0, 0, 142
473, -18, 34, -82606, 0, 0, 142
472, -17, 35, -83201, 0, 0, 142
471, -16, 35, -83761, 0, 0, 142
472, -17, 33, -84322, 0, 0, 142
473, -18, 35, -84952, 0, 0, 142
472, -17, 34, -85530, 0, 0, 142
473, -18, 35, -86160, 0, 0, 142
472, -17, 34, -86738, 0, 0, 142
473, -18, 34, -87350, 0, 0, 142
472, -17, 34, -87928, 0, 0, 142
473, -18, 35, -88558, 0, 0, 142
472, -17, 34, -89136, 0, 0, 142
473, -18, 35, -89766, 0, 0, 142
472, -17, 33, -90327, 0, 0, 142
473, -18, 35, -90957, 0, 0, 142
472, -17, 34, -91535, 0, 0, 142
473, -18, 35, -92165, 0, 0, 142
472, -17, 34, -92743, 0, 0, 142
473, -18, 34, -93355, 0, 0, 142
472, -17, 34, -93933, 0, 0, 142
473, -18, 35, -94563, 0, 0, 142
472, -17, 34, -95141, 0, 0, 142
473, -18, 35, -95771, 0, 0, 142
472, -17, 33, -96332, 0, 0, 142
473, -18, 35, -96962, 0, 0, 142
472, -17, 34, -97540, 0, 0, 142
473, -18, 35, -98170, 0, 0, 142
472, -17, 34, -98748, 0, 0, 142
473, -18, 34, -99360, 0, 0, 142
472, -17, 34, -99938, 0, 0, 142
473, -18, 35, -100568, 0, 0, 142
473, -18, 35, -101198, 0, 0, 142
473, -18, 36, -101846, 0, 0, 142
473, -18, 36, -102494, 0, 0, 142
473, -18, 34, -103106, 0, 0, 142
473, -18, 36, -103754, 0, 0, 142
473, -18, 35, -104384, 0, 0, 142
473, -18, 36, -105032, 0, 0, 142
473, -18, 35, -105662, 0, 0, 142
473, -18, 35, -106292, 0, 0, 142
473, -18, 35, -106922, 0, 0, 142
473, -18, 36, -107570, 0, 0, 142
473, -18, 35, -108200, 0, 0, 142
473, -18, 36, -108848, 0, 0, 142
473, -18, 35, -109478, 0, 0, 142
473, -18, 35, -110108, 0, 0, 142
